id,title,overview,poster_path,release_date,runtime,vote_average,genres,backdrop_path,tagline,status,budget,revenue,homepage,popularity,vote_count,Director,Star1,Star2,Star3,Star4,certificate
1,The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1994,142 min,9.3,[{'name': 'Drama'}],,,,0,"28,341,469",,80.0,2343110,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,A
2,The Godfather,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",1972,175 min,9.2,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"134,966,411",,100.0,1620367,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,A
3,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2008,152 min,9.0,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"534,858,444",,84.0,2303232,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,UA
4,The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",1974,202 min,9.0,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"57,300,000",,90.0,1129952,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,A
5,12 Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",1957,96 min,9.0,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"4,360,000",,96.0,689845,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,U
6,The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",2003,201 min,8.9,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"377,845,905",,94.0,1642758,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,U
7,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",1994,154 min,8.9,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"107,928,762",,94.0,1826188,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,A
8,Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1993,195 min,8.9,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,"96,898,818",,94.0,1213505,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,A
9,Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2010,148 min,8.8,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Sci-Fi'}]",,,,0,"292,576,195",,74.0,2067042,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,UA
10,Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1999,139 min,8.8,[{'name': 'Drama'}],,,,0,"37,030,102",,66.0,1854740,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,A
